Rank order,Type,Frequency
1756,trend,2
1757,attempts,2
1758,worn,2
1759,lose,2
1760,books,2
1761,convince,2
1762,literary,2
1763,enjoy,2
1764,foundation,2
1765,across,2
1766,sends,2
1767,illnesses,2
1768,mss,2
1769,spell,2
1770,capture,2
1771,qualification,2
1772,preparing,2
1773,spend,2
1774,controversy,2
1775,timaeus,2
1776,markedly,2
1777,conception,2
1778,stretched,2
1779,elevated,2
1780,characterize,2
1781,severe,2
1782,eager,2
1783,ethics,2
1784,eulogy,2
1785,gorgias,2
1786,empeiria,2
1787,vexed,2
1788,wrote,2
1789,volume,2
1790,responsible,2
1791,scyros,2
1792,rich,2
1793,deliberate,2
1794,eleusis,2
1795,nat,2
1796,eumolpus,2
1797,weapons,2
1798,indicated,2
1799,isles,2
1800,withstand,2
1801,sharp,2
1802,preceding,2
